"For Q&A tasks, fill your answers in the cell, or at least fill “A”, “P” or “N” in all the ”Your self-evaluation” cells. 
A-all finished   P-Partially finished  N-None finished
If you mark the task “N”, it receives 25% of max possible points for the task (It does not apply to extra-point tasks).
If you leave it blank, it receives 0 points. 
If your mark the task ""A"" or ""P"" but zero work is done for the task, then it receives 0 points.
Please leave ""score"" cells blank for course staff
If your code does not build,  your code will not receive more than 50% of max possible points",,,,,
,,,,,
,,,,,
Task1,Max score (%),Your answer/Your self-evalution,1st pass: autograder ,2nd pass: manual review,final score
How many system calls are placed in total by each HelloWorld program?,4,The c file has 28. The java file has 180 system calls.,0,,0
"How many different system calls (i.e., counting only one occurrence of a particular system call) are placed by each HelloWorld program? ",4,"The c file has 13 different system calls, while the java file has 22 different system calls",0,,0
"Based on your intuition, on reading man pages, and on the information in the trace files, pick three system calls placed by the Java HelloWorld program and say what you think they do (hint: use man). ",4,"Open_at: opens or creates a file matching the path name passed to it. Returns a fd and the reference number future system calls use to reference the file.
Mprotect: protects a region of memory. Offer different levels of protection, including no access, read only, write only, and more. Changes the access protections for memory pages within the address range passed to it.
Futex: works as a wait operation with fast user locking. Process waits until a condition becomes true and works mostly when doing shared memory synchronization. This call is used after mmap(), which creates a place for the futex in the memory.
",0,,0
"In lecture, we discussed how C library translates a C lib function such as open to sys_open. It is easy to understand how this works for a C program. However, does this still apply to Java programs? State your reasoning with evidence.",4,"No, this translation is not applied to Java programs which we can see by how many openat() calls are made for library functions. This is also one of the reasons for the vast difference between the different languages' amount of system calls.",0,,0
is tracefile_c generated and checked in?,2,A,0,,0
is tracefile_java generated and checked in?,2,A,0,,0
,,,,Total,0
,,,,,
Task2,Max score (%),Your answer/Your self-evalution,1st pass: autograder,2nd pass: manual review,final score
Is constructor implemented correctly? ,5,P,,,
"Is allocate implemented correctly? Does it support
         -- first fit?
         -- best fit?
         -- next fit?
Does it use list of free blocks and used blocks? and uses own linked list to split/delete blocks?",30,N,,,
"Is free implemented correctly?
       -- Does it compact free space?
       -- Does it give a nice error if you free a silly address?
       -- Use your own linked list to insert and perhaps consolidate blocks?",15,N,,,
Is size implemented correctly? ,5,N,,,
Is max_size implemented correctly? ,5,N,,,
"Is free and used blocks tracked using your own linked list?   
      -- Can your program output a list of used and free sections in offset order ?",10,N,,,
,,,,,0
Task3,Max score (%),Your answer/Your self-evalution,1st pass: autograder,2nd pass: manual review,final score
Your github repo should be named “CS371”;,"10% total

missing any one - 5%
missing two or more - 0%",A,,,0
"Your github repo CS371 must be private, and you must add the instructor(jyuan2pace) as a collaborator;  ",,A,,,0
"All your work for this project should be placed under directory “project1”, which is immediately under repo CS371;",,A,,,0
The trace files for task 1 should be immediately under a folder called task1 immediately under project1; ,,A,,,0
The source code for task 2 should be immediately under a folder called task2 immediately under project1;,,,,,0
This completed grading sheet should be under the folder project1,,,,,
,,,,Total,0
Penalty,,,,,
Late submission penalty,,,,,
missing commits from any member,,,,,
,,,,Total,0
Extra credits,,,,,
TBD,,,,,
TBD,,,,,
,,,,Total,0
Final total score,,,,,
